,X1,X2,pearson_abs,pearson_dir
5697,abpd,abps,0.999539684187889,1.0
5622,abps,abpd,0.999539684187889,1.0
5773,abpm,abps,0.9894317856310737,1.0
5623,abps,abpm,0.9894317856310737,1.0
5774,abpm,abpd,0.9889645948262336,1.0
5699,abpd,abpm,0.9889645948262336,1.0
1618,bun_min,bun_max,0.9591702589745179,1.0
1693,bun_max,bun_min,0.9591702589745179,1.0
1926,creatinine_min,creatinine_max,0.947544299804894,1.0
2001,creatinine_max,creatinine_min,0.947544299804894,1.0
772,nbpm_max,nbpd_max,0.9442300410822251,1.0
922,nbpd_max,nbpm_max,0.9442300410822251,1.0
845,nbpd_min,nbpm_min,0.9324392214283767,1.0
695,nbpm_min,nbpd_min,0.9324392214283767,1.0
1539,platelet_max,platelet_min,0.9083762888149376,1.0
1464,platelet_min,platelet_max,0.9083762888149376,1.0
2696,wbc_min,wbc_max,0.8368550462566372,1.0
2771,wbc_max,wbc_min,0.8368550462566372,1.0
2309,bicarbonate_max,bicarbonate_min,0.8084822569346568,1.0
2234,bicarbonate_min,bicarbonate_max,0.8084822569346568,1.0
997,nbps_min,nbpm_min,0.7935604917341637,1.0
697,nbpm_min,nbps_min,0.7935604917341637,1.0
1074,nbps_max,nbpm_max,0.7795898924106256,1.0
774,nbpm_max,nbps_max,0.7795898924106256,1.0
2617,sodium_max,sodium_min,0.7737030342135437,1.0
2542,sodium_min,sodium_max,0.7737030342135437,1.0
1698,bun_max,creatinine_max,0.7110531461429807,1.0
1998,creatinine_max,bun_max,0.7110531461429807,1.0
1621,bun_min,creatinine_min,0.7055550338758968,1.0
1921,creatinine_min,bun_min,0.7055550338758968,1.0
1697,bun_max,creatinine_min,0.7002649050771674,1.0
1922,creatinine_min,bun_max,0.7002649050771674,1.0
926,nbpd_max,nbps_max,0.6660389428879911,1.0
1076,nbps_max,nbpd_max,0.6660389428879911,1.0
4792,gender_m,height_chart,0.6589567398946171,1.0
367,height_chart,gender_m,0.6589567398946171,1.0
1622,bun_min,creatinine_max,0.6579480621816505,1.0
1997,creatinine_max,bun_min,0.6579480621816505,1.0
849,nbpd_min,nbps_min,0.6362042355743615,1.0
999,nbps_min,nbpd_min,0.6362042355743615,1.0
5468,albumin,bilirubin,0.6235302586166852,1.0
5543,bilirubin,albumin,0.6235302586166852,1.0
461,heart_rate_max,heart_rate_min,0.6028465970332719,1.0
386,heart_rate_min,heart_rate_max,0.6028465970332719,1.0
3297,pco2_min,bicarbonate_min,0.5990485414608753,1.0
2247,bicarbonate_min,pco2_min,0.5990485414608753,1.0
3714,sofa,norepinephrine,0.5965489591847977,1.0
5064,norepinephrine,sofa,0.5965489591847977,1.0
3298,pco2_min,bicarbonate_max,0.5751956323856727,1.0
2323,bicarbonate_max,pco2_min,0.5751956323856727,1.0
1847,calcium_max,calcium_min,0.575067929272644,1.0
1772,calcium_min,calcium_max,0.575067929272644,1.0
4161,admission_type_ew_emer,admission_type_urgent,0.5719029214528122,-1.0
4386,admission_type_urgent,admission_type_ew_emer,0.5719029214528122,-1.0
3387,pco2_max,pco2_min,0.5245200967812673,1.0
