,X1,X2,pearson_abs,pearson_dir
5849,abpd,abps,0.9995631982744217,1.0
5773,abps,abpd,0.9995631982744217,1.0
5774,abps,abpm,0.9928055657416706,1.0
5926,abpm,abps,0.9928055657416706,1.0
5927,abpm,abpd,0.9923646609318059,1.0
5851,abpd,abpm,0.9923646609318059,1.0
1639,bun_min,bun_max,0.9537756759262545,1.0
1715,bun_max,bun_min,0.9537756759262545,1.0
782,nbpm_max,nbpd_max,0.9491692813780968,1.0
934,nbpd_max,nbpm_max,0.9491692813780968,1.0
2027,creatinine_max,creatinine_min,0.9455018272537915,1.0
1951,creatinine_min,creatinine_max,0.9455018272537915,1.0
856,nbpd_min,nbpm_min,0.9319543361391858,1.0
704,nbpm_min,nbpd_min,0.9319543361391858,1.0
1559,platelet_max,platelet_min,0.9078747529839651,1.0
1483,platelet_min,platelet_max,0.9078747529839651,1.0
2731,wbc_min,wbc_max,0.8190933141493811,1.0
2807,wbc_max,wbc_min,0.8190933141493811,1.0
2263,bicarbonate_min,bicarbonate_max,0.7800204071380411,1.0
2339,bicarbonate_max,bicarbonate_min,0.7800204071380411,1.0
1088,nbps_max,nbpm_max,0.7794838433676586,1.0
784,nbpm_max,nbps_max,0.7794838433676586,1.0
1010,nbps_min,nbpm_min,0.7784652232178381,1.0
706,nbpm_min,nbps_min,0.7784652232178381,1.0
2651,sodium_max,sodium_min,0.7515510412449651,1.0
2575,sodium_min,sodium_max,0.7515510412449651,1.0
2024,creatinine_max,bun_max,0.7397824640077748,1.0
1720,bun_max,creatinine_max,0.7397824640077748,1.0
1946,creatinine_min,bun_min,0.7271280563408149,1.0
1642,bun_min,creatinine_min,0.7271280563408149,1.0
1947,creatinine_min,bun_max,0.707213791471956,1.0
1719,bun_max,creatinine_min,0.707213791471956,1.0
2023,creatinine_max,bun_min,0.6942184006025275,1.0
1643,bun_min,creatinine_max,0.6942184006025275,1.0
5617,albumin,bilirubin,0.6850021491036373,1.0
5693,bilirubin,albumin,0.6850021491036373,1.0
938,nbpd_max,nbps_max,0.6692050004423292,1.0
1090,nbps_max,nbpd_max,0.6692050004423292,1.0
372,height_chart,gender_m,0.6542591047063068,1.0
4932,gender_m,height_chart,0.6542591047063068,1.0
