ID,PC1,PC2
2,-9.331722198025966,-3.538747522904808
4,-7.608936220736404,-3.5199490132708013
6,-7.473196734640888,-3.4649538586298743
12,-6.292064161431865,-3.614255585969359
14,-8.76173960781086,-3.3972147016675716
15,-8.044800869568519,-3.4876637332018516
28,-9.18271614104273,-3.513373419530698
31,-9.185722240952238,-3.5361162167048317
35,-9.045677252493842,-3.4437105099513463
36,-9.330973064437211,-3.4030814110227063
42,-9.759442837799334,-3.3851939446913955
43,-9.617451540061444,-3.5086944808630367
52,-6.762051386878481,-3.404510372337816
58,-8.04060667322698,-3.491812609988429
67,-6.616834851493597,-3.500513081005548
71,-9.899275714742371,-3.525107005894205
76,-8.040129417103044,-3.5305113239774513
83,-7.470851286918183,-3.448705495015577
85,-7.617088124668071,-3.5439022570159047
87,-6.476413707235024,-3.408964042783078
95,-9.33116937987395,-3.450642488062864
96,-9.18830470092452,-3.5571750536071796
100,-8.902752201913563,-3.4651242262513047
105,-7.616963452558371,-3.5168229040077548
121,-8.61839765617634,-3.460999661823836
125,-9.613700164026907,-3.512858020876379
129,-9.461216544907264,-3.5055561204599406
133,-7.331674866077676,-3.454297257432796
140,-7.618200900629262,-3.403365932788933
149,-8.901254408316614,-3.5104524868059035
150,-9.330524478759836,-3.4709166660165622
159,-9.330130922086724,-3.4453603466330396
160,-9.902496353362386,-3.521611644495476
165,-9.189228835503672,-3.4826444942312476
170,-8.902645079329659,-3.5180491533252485
183,-9.615846881172828,-3.3955810506259425
186,-9.617568166412578,-3.491537716560622
190,-9.618487721266463,-3.4376181329348348
193,-8.045481669481577,-3.471606086457087
194,-9.474434085871795,-3.3763391373290625
197,-9.326502557483945,-3.4436266242797378
208,-9.324693628261311,-3.511714039568302
209,-8.331095964886886,-3.4645994827882376
227,-8.90277042375172,-3.322791054044642
235,-9.186722542627637,-3.4807034892516
236,-8.045722672477584,-3.5052744343220303
237,-9.185080689168505,-3.5315042087198125
238,-8.475669257741103,-3.354161124047039
244,-8.757750419220288,-3.4562353130453833
251,-9.186040147410962,-3.4459287018439557
254,-8.7601570564861,-3.4600200748232695
256,-8.615694355445262,-3.472927138713319
263,-9.045222798399388,-3.4423534526030677
275,-8.734476363795492,-3.5840329838519236
282,-9.330395981336858,-3.566032359092894
283,-9.331444788164468,-3.449061511170121
320,-9.18970592127876,-3.43627213560851
321,-8.612484264261505,-3.524011619214713
337,-8.76137648436842,-3.4325207594443214
339,-9.047384142107548,-3.480674122852915
343,-9.331105296144022,-3.4540005920344443
361,-8.900378948050236,-3.440320332787814
364,-9.188532654787952,-3.401312081598119
369,-9.330176894966836,-3.510847167001967
384,-7.902849263765141,-3.483883589969457
385,-9.189180014209688,-3.4239834185898386
392,-9.331843929628358,-3.3832593467681957
393,-7.902720177805738,-3.510112106494214
396,-9.471757566360443,-3.4843363555282316
422,-9.048574497499091,-3.43058757929529
426,-7.897897666190255,-3.5831729279582363
433,-9.475427629102722,-3.4467261957142328
438,-8.901801032004217,-3.504649061877212
443,-9.476857537087977,-3.4296269907381363
445,-5.9021324564604845,-3.5398417649935863
458,-9.331431354349544,-3.4200768071447856
459,-9.185115306396094,-3.4784840412637186
461,-7.330510807411138,-3.538156100301264
462,-9.46705069713304,-3.475319040573982
465,-9.046940602569483,-3.4374364457041944
486,-7.04518501919582,-3.478271270167623
487,-8.179693025379157,-3.4925625114500245
490,-9.331145874217825,-3.4301695831945467
499,-8.041263787501851,-3.5128046265264716
504,-9.19069090245702,-3.3368136028325077
506,-9.04197694252212,-3.468194125787336
512,-8.617708114840132,-3.381450024201179
514,-9.474219210464604,-3.4161284560540706
515,-9.331496113720185,-3.482771053226375
531,-9.329909174872457,-3.522955684678158
533,-8.61848190129442,-3.4016563382498046
538,-6.464187803573255,-3.5545290394911624
549,-9.046081293186768,-3.406656549272243
562,-9.331162378174213,-3.456448137018959
565,-7.331150652333163,-3.445990240937149
566,-8.758073204977746,-3.3897745339273
570,-8.473519658030362,-3.441433289720321
586,-9.185587024355495,-3.5086555852061334
594,-8.615666546252756,-3.3258566367380276
597,-9.332203651786251,-3.397473131404387
599,-9.469505771648109,-3.5054206550056763
605,-8.331836778227641,-3.483242073454188
615,-8.897026052560195,-3.459736868214126
617,-7.331438879066356,-3.4553228622272507
625,-7.616341768007429,-3.555423415348218
634,-9.618924960522332,-3.2723711014762467
635,-9.328252105125246,-3.446340774817874
639,-7.596076915842779,-3.661617335949196
661,-8.046386475991948,-3.3897532578708827
664,-9.332324377396317,-3.4341418906567127
668,-6.902787014440137,-3.456979477971057
670,-9.33167741781129,-3.4215276813886155
678,-8.761006996276132,-3.3915984293292323
684,-9.186594525580688,-3.459056587802309
685,-8.185892494322802,-3.499517145212622
688,-8.902427891233934,-3.5121712265559735
693,-9.759224967200169,-3.485761830999623
698,-7.188363959500054,-3.565488634021948
705,-7.761558696545615,-3.389396485669047
710,-10.046894962329809,-3.4521362417388906
716,-9.18217813261138,-3.5155501384272103
718,-7.89069794722876,-3.5315058784668896
733,-9.045049976218593,-3.552843985530642
738,-9.042899057799708,-3.4292427824503147
746,-8.902961199279147,-3.485860499782455
747,-8.046855713540477,-3.4025394455945865
752,-8.045753803385354,-3.460151999594618
758,-8.611841014262948,-3.5880577327556664
768,-9.32768375618638,-3.5131003040943853
782,-8.474003678173998,-3.459984334007454
797,-9.618370838415686,-3.3949941530789687
809,-9.189831425540724,-3.5307036048180773
811,-8.616265523929767,-3.4861862761962916
818,-8.905241503891165,-3.345259301579864
822,-9.049331382346075,-3.429553730467692
824,-8.616521160312102,-3.425151694382092
825,-8.615481931858126,-3.4921159024323396
826,-8.902892015412037,-3.45117788571581
829,-8.04628703325256,-3.4606666167531412
835,-9.475795775433044,-3.309759103737124
839,-8.61929841523973,-3.354323827589545
844,-9.330100650891035,-3.5134744827868176
854,-9.32302651131077,-3.487495806433416
858,-9.043914194050648,-3.4224204497945356
859,-9.474564236171611,-3.3673524193739692
862,-8.18950253890607,-3.547894719255146
869,-9.046360122029812,-3.4703872617502296
871,-9.188043589014669,-3.536902938052827
874,-8.33160799809225,-3.475346829805817
878,-7.190088380373871,-3.3917796742310777
879,-9.761518552311848,-3.491943510387592
880,-8.61870365077014,-3.420483145199521
881,-9.475484347224828,-3.4955181072542185
884,-9.18728237178468,-3.4490578065867803
894,-9.618291792787057,-3.3718365217350232
895,-9.326997330049124,-3.4736217411214185
905,-9.18895045728773,-3.402633080803913
908,-9.61976785154693,-3.4785784741425805
909,-8.475104783423873,-3.474142589561092
915,-8.332606386372968,-3.443200746648734
928,-9.050091599542316,-3.4517633629029905
931,-9.474522363375062,-3.4779744303827633
932,-8.904035250607981,-3.504606984340904
933,-8.320898213333262,-3.582748287401176
935,-9.188701641962744,-3.4123177438135803
948,-9.61769390353514,-3.460087111551217
956,-7.615462669722106,-3.47680752380321
964,-9.184024291879789,-3.4733545156618875
967,-8.897624974974446,-3.4300544988196955
969,-9.187613069822952,-3.5266562195055635
971,-9.048269766007854,-3.2905315021827457
987,-9.04262985837564,-3.3431711524663212
990,-7.6169224164205644,-3.431422809442942
999,-7.905209808759769,-3.3410234736604405
1011,-7.474748541634541,-3.4278314706684117
1015,-8.9005497429959,-3.4936520595713563
1027,-6.191944641955951,-3.349394970064856
1028,-9.473668090055773,-3.5446174417133096
1031,-6.33255666441109,-3.4385953695771483
1033,-8.61458842677102,-3.440873311593427
1034,-8.179283303259576,-3.4824341933129697
1036,-8.330095892096285,-3.485271068692582
1037,-6.897472537372018,-3.5565960907710443
1039,-8.755927376366564,-3.511227856860418
1050,-8.857041987412229,-3.6006425753482043
1056,-9.188575444007988,-3.441877919720811
1058,-7.897886972882245,-3.512780307096511
1077,-9.61771066627965,-3.36914579893809
1080,-9.61192485079821,-3.526068221426218
1081,-8.045866519180397,-3.475874869038113
1088,-7.614984770467113,-3.544172091999594
1093,-9.473735491118742,-3.5042235315893033
1094,-8.905151660339623,-3.398175853687453
1097,-9.617287858972528,-3.482331639946285
1101,-8.4775726002194,-3.5113602705203157
1112,-9.75927269776388,-3.521691214720594
1113,-8.617712762157685,-3.4208581922460275
1114,-9.32801500376428,-3.535005600834214
1115,-8.61816787192826,-3.413559300412181
1125,-9.189271865074256,-3.487537205256455
1127,-8.188920009828035,-3.4732808270183493
1133,-7.617588400832336,-3.4188066244930844
1142,-8.904626227269706,-3.356103385558278
1143,-9.329451947342664,-3.4869532497396563
1146,-9.3303618385284,-3.340680377354317
1148,-8.903013755124665,-3.4546759889134626
1153,-7.472810629017078,-3.4894301369461043
1167,-9.188159445139627,-3.510577401938668
1180,-8.620142691101261,-3.365086987228053
1184,-7.189754137346439,-3.4029487326940435
1185,-9.047223557505188,-3.4202585609000953
1186,-9.045722354661818,-3.480913062251082
1187,-8.472751219671352,-3.445287457852182
1190,-8.90250315316109,-3.5623632114454535
1191,-8.902293768858415,-3.5150258829662686
1193,-9.046906524354611,-3.381317254617814
1200,-9.903412688096068,-3.405259469140444
1204,-8.045651352458085,-3.4904827394643534
1208,-8.759679105038922,-3.4007572357611755
1216,-8.903904398266766,-3.451248828400089
1218,-9.75962211442998,-3.4967603570726657
1226,-6.618731837957331,-3.404263514337814
1227,-9.045397219611408,-3.4940400242958685
1231,-8.611146392157833,-3.4212553330689044
1251,-8.759622352779777,-3.4458792079760543
1253,-7.30985313452769,-3.522059250084422
1261,-9.616994313921245,-3.500606711839077
