ID,PC1,PC2
4,-8.751107339392844,-3.3194059147085184
7,-7.023248780465177,-3.296971729207397
12,-6.8927261947700496,-3.244582826023393
18,-8.173042021821564,-3.3042500049583667
22,-5.6863008826020485,-3.3400113714258564
25,-8.181776734482554,-3.1969492183322017
26,-8.179487569530176,-3.266412648237446
27,-7.463698876805686,-3.275764444597398
44,-8.45918390578049,-3.3031884661043276
52,-8.59761799365407,-3.289836415013921
60,-8.602977913280744,-3.3307462641588614
65,-8.464887846886578,-3.2735390048851176
68,-8.748189536848065,-3.297427217680682
69,-8.749945003778059,-3.2167734305356688
75,-8.179824775959682,-3.2961838030514103
82,-9.17784356407168,-3.206715278958211
83,-9.036357351819724,-3.3103291099555503
99,-6.182854602500618,-3.2039964231073492
102,-8.036735937217744,-3.261245442549465
107,-7.4564018599741315,-3.292524775125695
119,-6.606937603801998,-3.3180256643210764
122,-6.03591566463696,-3.280888545540802
131,-9.314485300274752,-3.324838493415136
136,-8.606900707687666,-3.2529787308283553
137,-9.180060256220363,-3.2328212436219887
139,-7.455237948236186,-3.328712721898343
141,-7.894246597037395,-3.277330116529173
145,-8.037318889588839,-3.253425219102752
156,-8.178339961041884,-3.301086802137326
157,-6.887586650596958,-3.251502453162886
159,-7.036603528269367,-3.338259074422762
163,-6.888264315092053,-3.343482246279108
164,-5.896869884724517,-3.2116719876362674
183,-8.750065344550423,-3.269572288388932
184,-8.607606891157431,-3.334390764782021
193,-6.463098928698831,-3.3677506101252948
201,-8.322331893014674,-3.2746819088643804
203,-9.035702126715996,-3.2794558397871234
209,-8.03647179901303,-3.338944137469167
210,-7.0358867421390014,-3.316036756175205
221,-8.116527611053378,-3.399110123096591
241,-8.037503442456952,-3.2652775952533206
245,-9.030643877356114,-3.311750716032943
249,-8.744772548019037,-3.295613685148243
255,-8.872297384813058,-3.280717988017735
259,-8.46615123154627,-3.2930828251393764
261,-6.750940461296681,-3.261128872828148
262,-8.036522153860002,-3.281717421908815
265,-7.895243155126413,-3.30712409970164
276,-7.038541826175565,-3.2098651415802935
277,-9.46570110824058,-3.2648361121267775
290,-8.893736291396438,-3.2587477520365624
293,-9.461708969211273,-3.264520724792383
304,-8.319770731884107,-3.326264557478796
307,-8.749090084394545,-3.2686302387318107
310,-8.609681395082918,-3.2148746259954373
320,-9.031114924452414,-3.23227959471215
321,-8.748338181210451,-3.262714932393226
322,-9.32176820557377,-3.3149968581408733
332,-8.323320766928202,-3.2797890865138895
341,-8.6089206897067,-3.262038778116996
348,-8.32159052171953,-3.301519175614681
349,-7.321012081512715,-3.2223351062329484
370,-6.6046515411571525,-3.365555385546832
374,-9.034515522329208,-3.1938009257412223
377,-9.037767836380516,-3.2666843035513313
382,-7.465410997934668,-3.251599468127873
389,-9.038603376440806,-3.2295566951090873
391,-7.7465615074467875,-3.2877244126650043
402,-7.464682815761648,-3.2670656180568485
403,-7.608592415405033,-3.287875239835602
405,-8.894033370978095,-3.1941951018434747
408,-8.742618700706304,-3.2581149808865986
418,-7.461480970725425,-3.2859098597963388
